,Title,Production_Budget,Domestic_Gross,Worldwide_Gross,Profit,Original_Language,Popularity,TMDB_Rating,Vote_Count,Quarter_Num,Year,IMDB_Rating,Runtime,Genre
576,Drive Angry,50000000.0,10721033.0,41042583.0,-8957417.0,en,14.095999999999998,5.3,959,1,2011,5.4,104.0,Acti
414,Rock of Ages,70000000.0,38518613.0,61031932.0,-8968068.0,en,11.369000000000002,6.1,686,2,2012,5.9,123.0,Come
1514,Skin Trade,9000000.0,1242.0,1242.0,-8998758.0,en,9.362,5.6,96,4,2014,5.7,96.0,Acti
1037,"Roman J. Israel, Esq.",22000000.0,11962712.0,12967012.0,-9032988.0,en,12.687999999999999,6.2,499,4,2017,6.4,122.0,Crim
1038,"Roman J. Israel, Esq.",22000000.0,11962712.0,12967012.0,-9032988.0,en,12.687999999999999,6.2,499,4,2017,6.4,122.0,Crim
690,The Hurricane Heist,40000000.0,6115824.0,30963684.0,-9036316.0,en,13.335,5.4,476,1,2018,5.1,103.0,Acti
982,The Conspirator,25000000.0,11538204.0,15907411.0,-9092589.0,en,6.492999999999999,6.5,226,2,2011,6.9,122.0,Crim
1323,The Killer Inside Me,13000000.0,217277.0,3617277.0,-9382723.0,en,7.087000000000001,5.9,304,2,2010,6.1,109.0,Crim
1214,Bleed for This,16000000.0,5083906.0,6603926.0,-9396074.0,en,8.258,6.9,405,4,2016,6.8,117.0,Biog
1215,Bleed for This,16000000.0,5083906.0,6603926.0,-9396074.0,en,8.258,6.9,405,4,2016,6.8,117.0,Biog
1486,Plastic,10000000.0,0.0,575371.0,-9424629.0,en,7.815,6.1,116,3,2014,6.0,102.0,Acti
1474,Welcome to the Rileys,10000000.0,152857.0,355919.0,-9644081.0,en,8.347999999999999,6.5,241,4,2010,7.0,110.0,Dram
759,Whiskey Tango Foxtrot,35000000.0,23083334.0,25350747.0,-9649253.0,en,8.564,6.2,596,1,2016,6.6,112.0,Biog
1290,Flipped,14000000.0,1755212.0,4289993.0,-9710007.0,en,9.781,7.4,859,3,2010,7.7,90.0,Come
1203,Genius,17000000.0,1361045.0,7265283.0,-9734717.0,en,9.417,6.5,391,2,2016,6.6,104.0,Biog
1477,High School,10000000.0,139034.0,248133.0,-9751867.0,en,5.7620000000000005,5.8,68,2,2010,5.8,99.0,Come
1476,High School,10000000.0,139034.0,248133.0,-9751867.0,en,5.7620000000000005,5.8,68,2,2010,5.8,99.0,Come
1480,Strangerland,10000000.0,17472.0,161097.0,-9838903.0,en,5.91,5.2,135,3,2015,5.2,112.0,Dram
1369,Ravenous,12000000.0,2062406.0,2062406.0,-9937594.0,fr,8.48,5.4,123,3,2017,5.9,104.0,Dram
1368,Ravenous,12000000.0,2062406.0,2062406.0,-9937594.0,fr,8.48,5.4,123,3,2017,5.9,104.0,Dram
1490,Into the Grizzly Maze,10000000.0,0.0,0.0,-10000000.0,en,7.132999999999999,5.3,121,2,2015,5.3,94.0,Acti
1488,Detention,10000000.0,0.0,0.0,-10000000.0,en,2.377,3.5,15,1,2010,5.8,93.0,Come
1489,Detention,10000000.0,0.0,0.0,-10000000.0,en,6.136,5.6,206,1,2011,5.8,93.0,Come
1108,Thank You for Your Service,20000000.0,9479390.0,9985316.0,-10014684.0,en,8.208,6.3,149,4,2017,6.5,109.0,Biog
1331,Casino Jack,12500000.0,2039869.0,2272186.0,-10227814.0,en,9.432,6.1,149,4,2010,6.2,108.0,Biog
1175,Miss Sloane,18000000.0,3500605.0,7719630.0,-10280370.0,en,12.215,7.4,912,4,2016,7.5,132.0,Dram
1176,Miss Sloane,18000000.0,3500605.0,7719630.0,-10280370.0,en,12.215,7.4,912,4,2016,7.5,132.0,Dram
291,In the Heart of the Sea,100000000.0,25020758.0,89693309.0,-10306691.0,en,14.33,6.6,2137,4,2015,6.9,122.0,Acti
290,In the Heart of the Sea,100000000.0,25020758.0,89693309.0,-10306691.0,en,14.33,6.6,2137,4,2015,6.9,122.0,Acti
773,Biutiful,35000000.0,5101237.0,24687524.0,-10312476.0,es,7.697,7.2,546,4,2010,7.5,148.0,Dram
1174,Midnight Special,18000000.0,3712282.0,7680250.0,-10319750.0,en,8.652999999999999,6.3,1105,1,2016,6.6,112.0,Acti
1396,The Last Days on Mars,10600000.0,24084.0,261364.0,-10338636.0,en,8.759,5.3,407,4,2013,5.5,98.0,Adve
868,Dead Man Down,30000000.0,10895295.0,19599974.0,-10400026.0,en,10.349,6.0,866,1,2013,6.5,118.0,Acti
706,The Thing,38000000.0,16999934.0,27573078.0,-10426922.0,en,12.349,6.1,1404,4,2011,6.2,103.0,Horr
1107,Popstar: Never Stop Never Stopping,20000000.0,9496130.0,9537120.0,-10462880.0,en,11.844000000000001,6.6,675,2,2016,6.7,87.0,Come
1393,Brighton Rock,11000000.0,229653.0,229653.0,-10770347.0,en,4.749,6.0,57,3,2011,5.7,111.0,Crim
1371,Kill the Irishman,12000000.0,1188194.0,1188194.0,-10811806.0,en,7.13,6.9,274,1,2011,7.1,106.0,Biog
418,The Legend of Hercules,70000000.0,18848538.0,58953319.0,-11046681.0,en,13.754000000000001,4.5,805,1,2014,4.2,99.0,Acti
1115,A Most Violent Year,20000000.0,5749134.0,8846875.0,-11153125.0,en,12.270999999999999,6.6,792,4,2014,7.0,125.0,Crim
1116,A Most Violent Year,20000000.0,5749134.0,8846875.0,-11153125.0,en,12.270999999999999,6.6,792,4,2014,7.0,125.0,Crim
910,Pride and Prejudice and Zombies,28000000.0,10907291.0,16638300.0,-11361700.0,en,9.086,5.7,1195,1,2016,5.8,108.0,Acti
1334,A Little Bit of Heaven,12500000.0,10011.0,1100287.0,-11399713.0,en,7.87,6.3,333,1,2011,6.3,106.0,Come
21,The Avengers,60000000.0,23385416.0,48585416.0,-11414584.0,en,50.288999999999994,7.6,19673,2,2012,8.1,143.0,Acti
1144,Take Me Home Tonight,19000000.0,6928068.0,7576604.0,-11423396.0,en,11.321,6.1,339,1,2011,6.3,97.0,Come
1267,The Disappointments Room,15000000.0,2423467.0,3503761.0,-11496239.0,en,6.324,4.4,272,3,2016,3.9,85.0,Dram
719,Aloha,37000000.0,21052030.0,25387091.0,-11612909.0,en,9.685,5.3,1226,2,2015,5.4,105.0,Come
1265,Rock the Kasbah,15000000.0,3020665.0,3386153.0,-11613847.0,en,5.202999999999999,5.5,154,4,2015,5.5,106.0,Come
1264,Rock the Kasbah,15000000.0,3020665.0,3386153.0,-11613847.0,en,5.202999999999999,5.5,154,4,2015,5.5,106.0,Come
912,Anonymous,27500000.0,4463292.0,15815509.0,-11684491.0,en,8.113999999999999,6.4,434,4,2011,6.9,130.0,Dram
1114,Chasing Mavericks,20000000.0,6002756.0,8300821.0,-11699179.0,en,6.546,7.0,329,4,2012,7.2,116.0,Biog
1375,5 Days of War,12000000.0,17479.0,87793.0,-11912207.0,en,8.689,5.7,102,3,2011,5.6,113.0,Acti
521,Annihilation,55000000.0,32732301.0,43070915.0,-11929085.0,en,25.197,6.3,4465,1,2018,6.9,115.0,Adve
986,Beautiful Boy,25000000.0,7634767.0,13031424.0,-11968576.0,en,5.872000000000001,6.0,47,2,2011,7.3,120.0,Biog
989,Beautiful Boy,25000000.0,7634767.0,13031424.0,-11968576.0,en,17.409000000000002,7.6,500,4,2018,6.6,100.0,Dram
988,Beautiful Boy,25000000.0,7634767.0,13031424.0,-11968576.0,en,17.409000000000002,7.6,500,4,2018,7.3,120.0,Biog
987,Beautiful Boy,25000000.0,7634767.0,13031424.0,-11968576.0,en,5.872000000000001,6.0,47,2,2011,6.6,100.0,Dram
196,Home,12000000.0,0.0,0.0,-12000000.0,en,12.835,6.8,2372,1,2015,6.6,94.0,Adve
195,Home,12000000.0,0.0,0.0,-12000000.0,ru,1.8230000000000002,5.4,11,4,2011,6.6,94.0,Adve
197,Home,12000000.0,0.0,0.0,-12000000.0,en,0.6,4.7,14,1,2016,6.6,94.0,Adve
486,Trouble with the Curve,60000000.0,35763137.0,47818913.0,-12181087.0,en,8.548,6.7,613,3,2012,6.8,111.0,Dram
1011,Dhoom 3,24000000.0,8031955.0,11723620.0,-12276380.0,hi,6.797999999999999,5.9,136,4,2013,5.4,172.0,Acti
869,The Lost City of Z,30000000.0,8574339.0,17121823.0,-12878177.0,en,11.048,6.2,1397,2,2017,6.6,141.0,Adve
870,The Lost City of Z,30000000.0,8574339.0,17121823.0,-12878177.0,en,11.048,6.2,1397,2,2017,6.6,141.0,Adve
1120,Suspiria,20000000.0,2483472.0,7034615.0,-12965385.0,en,16.925,7.0,752,4,2018,6.8,152.0,Fant
1324,Womb,13000000.0,0.0,0.0,-13000000.0,en,8.482999999999999,6.1,159,3,2010,6.4,111.0,Dram
1204,Escobar: Paradise Lost,17000000.0,195792.0,3917679.0,-13082321.0,en,15.924000000000001,6.3,476,4,2014,6.5,120.0,Crim
1136,The Devil's Double,19100000.0,1361512.0,5965646.0,-13134354.0,en,7.505,6.7,291,3,2011,7.1,109.0,Biog
